               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.092143,            0.025253,                   0,             0.25592,             0.26667,             0.15028,            0.035567,            0.074693,            0.022788,                   0,            0.023892,           0.0048924,           0.0048924
                  41,            0.094293,            0.026116,                   0,             0.16017,             0.26667,             0.12643,            0.028552,            0.089319,            0.020895,                   0,            0.021931,            0.004931,            0.004931
                  42,             0.09816,            0.024696,                   0,             0.16017,             0.26667,             0.12643,            0.028552,            0.089319,            0.020895,                   0,            0.019966,           0.0049657,           0.0049657
                  43,            0.096972,            0.027705,                   0,             0.36236,                 0.4,             0.23148,             0.06292,            0.091803,            0.021711,                   0,            0.017996,           0.0049964,           0.0049964
                  44,             0.09542,            0.028666,                   0,             0.36236,                 0.4,             0.23148,             0.06292,            0.091803,            0.021711,                   0,            0.016023,           0.0050232,           0.0050232
                  45,            0.095479,            0.025208,                   0,             0.19361,                 0.6,             0.22958,            0.066075,            0.086163,            0.021968,                   0,            0.014046,            0.005046,            0.005046
                  46,            0.091604,            0.036965,                   0,             0.19361,                 0.6,             0.22958,            0.066075,            0.086163,            0.021968,                   0,            0.012065,           0.0050648,           0.0050648
                  47,            0.089192,            0.033118,                   0,             0.21233,                 0.2,             0.10343,            0.022036,            0.086769,            0.020031,                   0,             0.01008,           0.0050797,           0.0050797
                  48,            0.082758,            0.023806,                   0,             0.21233,                 0.2,             0.10343,            0.022036,            0.086769,            0.020031,                   0,           0.0080906,           0.0050906,           0.0050906
                  49,            0.083015,            0.025878,                   0,             0.27515,                 0.2,             0.12828,            0.043246,            0.087571,            0.020857,                   0,           0.0060975,           0.0050975,           0.0050975
                  50,            0.083661,            0.019959,                   0,             0.27515,                 0.2,             0.12828,            0.043246,            0.087571,            0.020857,                   0,             0.00505,             0.00505,             0.00505
                  51,            0.089784,            0.025228,                   0,             0.35986,                 0.4,             0.27586,            0.076783,            0.083489,            0.020847,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.08606,            0.025716,                   0,             0.35986,                 0.4,             0.27586,            0.076783,            0.083489,            0.020847,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.090386,            0.037566,                   0,             0.44022,                 0.2,             0.27678,             0.06564,            0.080092,             0.02125,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.069969,            0.026155,                   0,             0.44022,                 0.2,             0.27678,             0.06564,            0.080092,             0.02125,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.090491,            0.021893,                   0,              0.1966,             0.53333,             0.23972,            0.051163,            0.080134,             0.02044,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.081743,            0.021193,                   0,              0.1966,             0.53333,             0.23972,            0.051163,            0.080134,             0.02044,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.089896,            0.024961,                   0,             0.50237,             0.26951,             0.39878,             0.10936,             0.07634,            0.020385,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.079807,            0.027188,                   0,             0.50237,             0.26951,             0.39878,             0.10936,             0.07634,            0.020385,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.087768,            0.030586,                   0,             0.42865,             0.30169,             0.28257,            0.058647,                0.08,            0.020782,                   0,            0.004258,            0.004258,            0.004258
